GalaxyName,ClassAuditOnly,SPARC_RadiusKpc,SPARC_RadiusFraction,THINGS_RingIndex,THINGS_RingFractionCenter,RadiusFractionDelta,StressDispersion,StressVelocityAsymmetry,RankStressTHINGS,S_tau_things_frozen,GeometryMode,AbsResidualProjection,AbsResidualMONDSimple,AbsResidualRAR,ProjectionMinusMONDAbs,ProjectionMinusRARAbs
DDO154,A,0.49,0.0827703,0,0.041666667,0.041103633,1.394575125,0.248863577,0.873684211,0.126315789,things_global_pa_inclination_elliptical_annuli,0.365666132264,0.430968848168,0.430052645338,-0.0653027159033,-0.0643865130739
DDO154,A,0.99,0.16723,2,0.208333333,0.041103333,1.099449937,0.708912225,0.715789474,0.284210526,things_global_pa_inclination_elliptical_annuli,0.230158934582,0.302515267351,0.301693606347,-0.0723563327685,-0.0715346717649
DDO154,A,1.48,0.25,2,0.208333333,0.041666667,1.099449937,0.708912225,0.715789474,0.284210526,things_global_pa_inclination_elliptical_annuli,0.0793337435799,0.163383051058,0.16268875175,-0.0840493074783,-0.0833550081696
DDO154,A,1.97,0.33277,3,0.291666667,0.041103333,1.114947193,1.038071177,0.757894737,0.242105263,things_global_pa_inclination_elliptical_annuli,0.0177012590307,0.108535919505,0.107902712713,-0.0908346604739,-0.0902014536821
DDO154,A,2.47,0.41723,5,0.458333333,0.041103333,0.949141704,1.355872039,0.989473684,0.010526316,things_global_pa_inclination_elliptical_annuli,0.0200916765074,0.0799072014676,0.079345049054,-0.0598155249602,-0.0592533725466
DDO154,A,2.96,0.5,5,0.458333333,0.041666667,0.949141704,1.355872039,0.989473684,0.010526316,things_global_pa_inclination_elliptical_annuli,0.0456008721283,0.0590339190396,0.058503525474,-0.0134330469112,-0.0129026533457
DDO154,A,3.46,0.584459,7,0.625000000,0.040541000,0.681813158,1.212390346,0.926315789,0.073684211,things_global_pa_inclination_elliptical_annuli,0.0385762994653,0.0684943642447,0.0679796742314,-0.0299180647794,-0.0294033747661
DDO154,A,3.95,0.66723,8,0.708333333,0.041103333,0.143057312,1.161665135,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0498440734706,0.0663503824422,0.0658891988579,-0.0165063089716,-0.0160451253874
DDO154,A,4.44,0.75,8,0.708333333,0.041666667,0.143057312,1.161665135,0.905263158,0.094736842,things_global_pa_inclination_elliptical_annuli,0.0754474179634,0.055132471414,0.0547415191738,0.0203149465494,0.0207058987896
DDO154,A,4.94,0.834459,10,0.875000000,0.040541000,0.143532916,0.108520510,0.178947368,0.821052632,things_global_pa_inclination_elliptical_annuli,0.100820977005,0.0451698360357,0.0448393822436,0.0556511409693,0.0559815947614
DDO154,A,5.43,0.91723,11,0.958333333,0.041103333,0.000920052,0.000000000,0.021052632,0.978947368,things_global_pa_inclination_elliptical_annuli,0.0993865197516,0.0628245458693,0.0625454206209,0.0365619738822,0.0368410991307
DDO154,A,5.92,1,11,0.958333333,0.041666667,0.000920052,0.000000000,0.021052632,0.978947368,things_global_pa_inclination_elliptical_annuli,0.0757813837671,0.102696078349,0.102458770062,-0.0269146945816,-0.0266773862946
NGC2366,C,0.12,0.019802,0,0.041666667,0.021864667,1.375380646,0.242809606,0.863157895,0.136842105,things_global_pa_inclination_elliptical_annuli,0.48302212893,0.628408179995,0.628075589337,-0.145386051064,-0.145053460406
NGC2366,C,0.36,0.0594059,0,0.041666667,0.017739233,1.375380646,0.242809606,0.863157895,0.136842105,things_global_pa_inclination_elliptical_annuli,0.576003546643,0.644575851113,0.643705433133,-0.0685723044706,-0.0677018864903
NGC2366,C,0.59,0.0973597,1,0.125000000,0.027640300,1.340097660,0.393643977,0.852631579,0.147368421,things_global_pa_inclination_elliptical_annuli,0.414836690224,0.470179073603,0.469097364394,-0.0553423833798,-0.0542606741703
NGC2366,C,0.83,0.136964,1,0.125000000,0.011964000,1.340097660,0.393643977,0.852631579,0.147368421,things_global_pa_inclination_elliptical_annuli,0.451143810266,0.498840218566,0.497595544771,-0.0476964082998,-0.0464517345055
NGC2366,C,1.07,0.176568,2,0.208333333,0.031765333,1.093317229,0.478497349,0.705263158,0.294736842,things_global_pa_inclination_elliptical_annuli,0.358339946656,0.403104023875,0.401785461696,-0.0447640772197,-0.0434455150407
NGC2366,C,1.31,0.216172,2,0.208333333,0.007838667,1.093317229,0.478497349,0.705263158,0.294736842,things_global_pa_inclination_elliptical_annuli,0.28674799154,0.330096840063,0.328739830104,-0.0433488485236,-0.0419918385639
NGC2366,C,1.54,0.254125,3,0.291666667,0.037541667,1.020030674,0.686701546,0.621052632,0.378947368,things_global_pa_inclination_elliptical_annuli,0.201077121751,0.244807164935,0.243460703493,-0.0437300431842,-0.0423835817424
NGC2366,C,1.79,0.29538,3,0.291666667,0.003713333,1.020030674,0.686701546,0.621052632,0.378947368,things_global_pa_inclination_elliptical_annuli,0.152993723834,0.196517112913,0.19516495094,-0.0435233890786,-0.0421712271057
NGC2366,C,2.02,0.333333,3,0.291666667,0.041666333,1.020030674,0.686701546,0.621052632,0.378947368,things_global_pa_inclination_elliptical_annuli,0.139970264186,0.183016923511,0.181651446923,-0.0430466593249,-0.0416811827368
NGC2366,C,2.26,0.372937,4,0.375000000,0.002063000,1.007847800,0.899975575,0.621052632,0.378947368,things_global_pa_inclination_elliptical_annuli,0.141624175112,0.186181857306,0.184857807851,-0.0445576821932,-0.0432336327383
NGC2366,C,2.49,0.410891,4,0.375000000,0.035891000,1.007847800,0.899975575,0.621052632,0.378947368,things_global_pa_inclination_elliptical_annuli,0.100566582665,0.148428474563,0.147187757368,-0.0478618918985,-0.0466211747034
