GalaxyName,Class,NPoints,MeanErrVobsKms,InclinationDeg,InclinationErrorDeg,InclinationBin,ObserverGeometryChannel_v01,ReconstructionRiskChannel_v01,W_tau_eff_candidate_score_v01,W_tau_eff_abs_v01,W_tau_eff_signed_v01,CandidateConfidenceTier,ReviewerDecision,EvidenceType,ResidualBlindCheck,ReadoutUse,InterpretationGuardrail,ObserverGeometrySplit,ReconstructionRiskSplit,ObserverGeometryMedianCutoff,ReconstructionRiskMedianCutoff
CamB,A,9,1.5,65.0,5.0,inclined_60_75,0.200000000,1.253756927,0.854545455,0.914034998,-0.914034998,high_candidate,A,regular_kinematics,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
DDO154,A,12,0.6250000000000001,64.0,3.0,inclined_60_75,0.160000000,0.809435757,0.213636364,0.015609254,-0.015609254,low_or_control_candidate,A,regular_kinematics,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,low,0.200000000,1.102937033
ESO079-G014,A,15,5.7186666666666675,79.0,5.0,edge_on_ge75,0.760000000,1.432718137,0.136363636,0.023903266,0.023903266,low_or_control_candidate,A,regular_kinematics,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,high,0.200000000,1.102937033
ESO116-G012,A,15,3.134666666666667,74.0,3.0,inclined_60_75,0.560000000,0.964764722,0.254545455,0.087400328,0.087400328,low_or_control_candidate,A,regular_kinematics,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,low,0.200000000,1.102937033
IC2574,C,34,3.2411764705882353,75.0,7.0,edge_on_ge75,0.600000000,1.233063442,0.718181818,0.186301949,-0.186301949,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,high,0.200000000,1.102937033
NGC0055,C,21,3.8619047619047624,77.0,3.0,edge_on_ge75,0.680000000,0.938684941,0.681818182,0.188681855,-0.188681855,medium_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,low,0.200000000,1.102937033
NGC1705,C,14,5.7492857142857146,80.0,10.0,edge_on_ge75,0.800000000,2.014995002,0.759090909,0.350111963,0.350111963,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,high,0.200000000,1.102937033
NGC2366,C,26,2.607307692307693,68.0,5.0,inclined_60_75,0.320000000,0.995810936,0.759090909,0.211342066,-0.211342066,high_candidate,C,disturbed_hi,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,high,low,0.200000000,1.102937033
NGC2403,A,73,2.4208219178082198,63.0,3.0,inclined_60_75,0.120000000,0.632039895,0.168181818,0.063210375,0.063210375,low_or_control_candidate,B,mixed,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,low,0.200000000,1.102937033
NGC2976,C,27,3.5051851851851854,61.0,10.0,inclined_60_75,0.040000000,1.629629630,0.663636364,0.149556322,-0.149556322,medium_candidate,C,tidal,true,P09_observability_decomposition_no_velocity_endpoint,p09_observability_decomposition_not_bias_erasure_not_attribution,low,high,0.200000000,1.102937033
