Metric,Covariate,N,Pearson,Interpretation,Guardrail
ProjectionRMS_TPG,DistanceMpc,45,-0.291475541,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
ProjectionRMS_TPG,EnvMaxTheta,45,0.110102513,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
ProjectionRMS_TPG,W_tau_eff_abs_v01,45,0.982801098,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
ProjectionRMS_TPG,ReconstructionRiskChannel_v01,45,0.317226858,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
ProjectionRMS_TPG,MeanErrVobsKms,45,-0.213775110,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
ProjectionRMS_TPG,InclinationErrorDeg,45,0.213613874,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TPGMinusBestLowAccelRMS,DistanceMpc,45,0.141842614,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TPGMinusBestLowAccelRMS,EnvMaxTheta,45,-0.396179853,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TPGMinusBestLowAccelRMS,W_tau_eff_abs_v01,45,-0.345305444,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TPGMinusBestLowAccelRMS,ReconstructionRiskChannel_v01,45,0.015560250,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TPGMinusBestLowAccelRMS,MeanErrVobsKms,45,-0.014680233,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TPGMinusBestLowAccelRMS,InclinationErrorDeg,45,0.055382944,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TauResidualCandidateScore,DistanceMpc,45,-0.370023536,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TauResidualCandidateScore,EnvMaxTheta,45,0.527708762,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TauResidualCandidateScore,W_tau_eff_abs_v01,45,0.876554422,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TauResidualCandidateScore,ReconstructionRiskChannel_v01,45,0.219234368,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TauResidualCandidateScore,MeanErrVobsKms,45,-0.324670214,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
TauResidualCandidateScore,InclinationErrorDeg,45,0.247515907,screening_correlation_not_causal_attribution,paper3_seed_candidate_search_not_tau_core_validation
