GalaxyName,Class,NPoints,FirstRadiusFraction_ge_0p15,FirstRadiusBin_ge_0p15,MedianInnerProjectionResidual,MedianMidProjectionResidual,MedianOuterProjectionResidual,OuterMinusInnerProjectionResidual,MedianLowAccelerationProjectionResidual,MedianProjectionMinusMONDAbs,MedianProjectionMinusRARAbs,OnsetUse,Guardrail
CamB,A,9,0.089386,inner_R<0.33Rmax,1.263869587,0.915686458,,,0.915686458,-0.075707833,-0.074925998,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
DDO154,A,12,0.082770,inner_R<0.33Rmax,0.154746339,0.038576299,,,0.075614401,-0.028416380,-0.028040381,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
ESO079-G014,A,15,0.106779,inner_R<0.33Rmax,0.075142552,0.145659243,,,,0.014010578,0.010372560,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
ESO116-G012,A,15,0.418864,middle_0.33-0.67Rmax,0.034524799,0.145058140,,,0.153369095,0.017369097,0.014456979,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
IC2574,C,34,0.083089,inner_R<0.33Rmax,0.381934435,0.157874078,,,0.146111040,-0.111949669,-0.111464572,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC0055,C,21,0.091111,inner_R<0.33Rmax,0.313058404,0.137056486,,,0.140138241,-0.037571932,-0.036034804,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,14,0.036667,inner_R<0.33Rmax,0.293490254,0.322521652,,,0.382439560,0.062194008,0.061216082,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,26,0.019802,inner_R<0.33Rmax,0.386588318,0.095943165,,,0.156723268,-0.057214339,-0.056166795,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,73,0.857211,outer_R>=0.67Rmax,0.041542898,0.086101367,,,0.114804323,0.015861756,0.006696511,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC2976,C,27,0.048458,inner_R<0.33Rmax,0.214335556,0.069374519,,,,-0.013129766,-0.006673424,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC3109,C,25,0.440310,middle_0.33-0.67Rmax,0.056123362,0.157332012,,,0.161649138,0.100906761,0.100351031,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC3198,A,43,0.007260,inner_R<0.33Rmax,0.018979139,0.010865199,,,0.010897825,-0.012710114,-0.006524411,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC3741,C,21,0.032857,inner_R<0.33Rmax,0.094884940,0.230151394,,,0.226474080,0.160978813,0.160696159,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC3917,A,17,0.058546,inner_R<0.33Rmax,0.132678711,0.036407065,,,0.027833888,0.013293156,0.009452189,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC3972,A,10,0.099771,inner_R<0.33Rmax,0.093266146,0.081382683,,,,0.012626198,0.008301736,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC4183,A,23,,no_projection_residual_ge_0p15,0.072522785,0.071884266,,,0.050690001,-0.029160400,-0.027262926,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC4559,A,32,0.031950,inner_R<0.33Rmax,0.152724890,0.114443087,,,0.131229520,-0.020344310,-0.017797435,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC5055,C,28,0.013189,inner_R<0.33Rmax,0.121495997,0.114523549,,,0.102563609,-0.019562484,-0.006719528,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC5585,A,24,0.008212,inner_R<0.33Rmax,0.248411733,0.037323559,,,0.037323559,-0.012807472,-0.008596764,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC6503,A,31,0.032340,inner_R<0.33Rmax,0.026915664,0.047296745,,,0.063725465,0.037636730,0.036815609,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
NGC7331,A,36,0.073534,inner_R<0.33Rmax,0.137188049,0.091755389,,,,-0.015543431,-0.006579173,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC00128,A,22,0.069767,inner_R<0.33Rmax,0.171502190,0.050977424,,,0.106425717,0.026415279,0.025738336,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC00191,A,9,0.162325,inner_R<0.33Rmax,0.115308448,0.038616277,,,0.038616277,0.025836235,0.023743621,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC00731,C,12,0.083410,inner_R<0.33Rmax,0.584622054,0.270118487,,,0.200139029,0.114128039,0.113651609,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC02455,C,8,0.124069,inner_R<0.33Rmax,0.930069129,0.893142143,,,,-0.013204800,-0.006818054,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC03580,C,47,0.004065,inner_R<0.33Rmax,0.290217818,0.068834493,,,0.067994072,-0.018225673,-0.006572364,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC04305,C,22,0.045290,inner_R<0.33Rmax,0.420411810,0.509413591,,,0.595272077,-0.047003786,-0.045742314,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC04325,C,8,0.125224,inner_R<0.33Rmax,0.407862876,0.272758906,,,0.233692339,0.027156014,0.025138027,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC04499,C,9,0.111247,inner_R<0.33Rmax,0.213381034,0.057549279,,,0.061898349,-0.040937567,-0.039510275,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC05253,C,73,0.002439,inner_R<0.33Rmax,0.015386692,0.067981114,,,0.020995193,-0.012418479,0.004200430,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC05716,A,12,0.083266,inner_R<0.33Rmax,0.148333939,0.127268065,,,0.108267140,0.053898172,0.052784988,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC05764,A,10,0.099447,inner_R<0.33Rmax,0.428909134,0.289154477,,,0.268742822,0.068291849,0.067417317,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC05829,C,11,0.182344,inner_R<0.33Rmax,0.146794253,0.059032703,,,0.134526214,-0.056607793,-0.055549658,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC05918,C,8,0.248879,inner_R<0.33Rmax,0.188602582,0.079926114,,,0.061852803,-0.000534225,-0.000034182,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC06446,C,17,0.113503,inner_R<0.33Rmax,0.295778100,0.208250188,,,0.154280053,0.050367279,0.049183948,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC06818,C,8,0.124642,inner_R<0.33Rmax,0.497954832,0.248130263,,,0.056984257,-0.030884805,-0.029048193,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC06917,C,11,,no_projection_residual_ge_0p15,0.039666729,0.102411107,,,0.043041128,0.025403033,0.023281702,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC06973,C,9,0.221656,inner_R<0.33Rmax,0.379096284,0.205305672,,,,-0.016398799,-0.003521425,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC07323,C,10,0.099656,inner_R<0.33Rmax,0.218198355,0.157622543,,,,-0.022719560,-0.020398032,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC07399,C,10,0.099511,inner_R<0.33Rmax,0.380048047,0.405403968,,,0.404346879,0.038228207,0.036703953,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC07577,C,9,0.112426,inner_R<0.33Rmax,0.456223473,0.767227475,,,0.674716180,-0.104976251,-0.104448098,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC07603,C,12,0.082725,inner_R<0.33Rmax,0.077219982,0.157828133,,,0.211044773,0.036864549,0.035284054,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC08490,C,30,0.033497,inner_R<0.33Rmax,0.201892711,0.166141561,,,0.178508497,0.063287306,0.062336184,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC08837,C,8,0.123810,inner_R<0.33Rmax,0.660638823,0.428346762,,,0.387888148,-0.058490382,-0.057465767,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
UGC12632,C,15,0.267355,inner_R<0.33Rmax,0.121007793,0.121351203,,,0.091418433,0.062784118,0.063519316,residual_shape_triage_not_physical_attribution,paper3_seed_candidate_search_not_tau_core_validation
