GalaxyName,Class,Family,NPoints,RMSLog,ImprovementVsFixedS1,Coefficients,FitUse,Guardrail
CamB,A,galaxy_constant,9,0.314854675,0.747062725,-0.057362973,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
CamB,A,linear_radius,9,0.480417735,0.581499665,-0.473281157;0.809580446,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
CamB,A,quadratic_radius,9,0.177309081,0.884608319,-0.284644930;-0.214132182;0.952178190,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
CamB,A,linear_acceleration,9,0.316224196,0.745693204,-0.555608552;0.342254834,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
CamB,A,quadratic_acceleration,9,0.235293219,0.826624181,-22.289292272;29.367838997;-9.557371497,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
CamB,A,radius_plus_acceleration,9,0.128424479,0.933492921,-1.220711182;0.839290640;0.502939820,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
DDO154,A,galaxy_constant,12,0.216778925,-0.010756591,1.019047031,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
DDO154,A,linear_radius,12,0.207034737,-0.001012403,0.658179520;0.596719255,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
DDO154,A,quadratic_radius,12,0.195704960,0.010317374,0.325994263;2.167354696;-1.381741108,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
DDO154,A,linear_acceleration,12,0.208000140,-0.001977807,-0.430581509;0.889300116,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
DDO154,A,quadratic_acceleration,12,0.195058398,0.010963936,-9.683808594;12.366839794;-3.514096704,in_sample_shape_diagnostic_not_model_selection,paper3_seed_candidate_search_not_tau_core_validation
