GalaxyName,Class,NPoints,MedianRequiredS_tau,IQRRequiredS_tau,Q25RequiredS_tau,Q75RequiredS_tau,FractionOutside_0_1,FractionOutside_0_2,FixedS1_RMSLog,galaxy_constant_RMSLog,galaxy_constant_Coefficients,linear_radius_RMSLog,linear_radius_Coefficients,quadratic_radius_RMSLog,quadratic_radius_Coefficients,linear_acceleration_RMSLog,linear_acceleration_Coefficients,quadratic_acceleration_RMSLog,quadratic_acceleration_Coefficients,radius_plus_acceleration_RMSLog,radius_plus_acceleration_Coefficients,BestFamily,BestFamilyRMSLog,BestImprovementVsFixedS1,S_tauVerdict,Guardrail
CamB,A,9,-0.150310640,0.324694993,-0.264389348,0.060305645,0.666666667,0.666666667,1.061917400,0.314854675,-0.057362973,0.480417735,-0.473281157;0.809580446,0.177309081,-0.284644930;-0.214132182;0.952178190,0.316224196,-0.555608552;0.342254834,0.235293219,-22.289292272;29.367838997;-9.557371497,0.128424479,-1.220711182;0.839290640;0.502939820,radius_plus_acceleration,0.128424479,0.933492921,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
DDO154,A,12,1.075937835,0.188286464,0.941245841,1.129532305,0.666666667,0.000000000,0.206022334,0.216778925,1.019047031,0.207034737,0.658179520;0.596719255,0.195704960,0.325994263;2.167354696;-1.381741108,0.208000140,-0.430581509;0.889300116,0.195058398,-9.683808594;12.366839794;-3.514096704,0.206492091,2.059098148;1.313153840;-1.125212605,quadratic_acceleration,0.195058398,0.010963936,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
ESO079-G014,A,15,1.150996277,0.202617500,1.013112415,1.215729915,0.733333333,0.000000000,0.211936412,0.187019331,1.106307874,0.186108430,0.925033729;0.376393019,0.180207107,0.638843921;2.074127799;-1.625738238,0.183553020,-0.140560747;1.908077839,0.175981572,-6.809091910;22.586495487;-15.737832701,0.182638404,-0.679994466;-0.366860236;3.003948373,quadratic_acceleration,0.175981572,0.035954840,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
ESO116-G012,A,15,1.278820902,0.274539591,1.068961325,1.343500916,0.800000000,0.000000000,0.197571898,0.117997134,1.253027006,0.134208112,1.030184411;0.378272352,0.127177207,0.840099067;1.460245047;-1.010669105,0.134693574,0.766311090;0.519971551,0.131889972,-0.890227992;4.338613341;-2.092252531,0.132898699,1.171782478;0.529375213;-0.246370749,galaxy_constant,0.117997134,0.079574763,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
IC2574,C,34,0.764630352,0.156269774,0.661262174,0.817531948,0.000000000,0.000000000,0.398189280,0.212133975,0.708356604,0.179873470,0.476022825;0.443100904,0.172088245,0.307458194;1.301139395;-0.801891729,0.189482379,2.825979798;-1.297612799,0.188661112,-7.145326802;10.658385556;-3.575095910,0.179915867,0.455871203;0.445468578;0.011587554,quadratic_radius,0.172088245,0.226101034,constant_s_tau_plausible,paper3_seed_candidate_search_not_tau_core_validation
NGC0055,C,21,0.719293986,0.126714606,0.619477527,0.746192133,0.000000000,0.000000000,0.166728871,0.066401698,0.665288861,0.072083193,0.421769806;0.397529998,0.048395876,0.137532931;1.701511262;-1.143602459,0.075471498,-0.043146534;0.633418502,0.058229023,-5.307900160;10.218020618;-4.282087551,0.049541869,2.853847691;2.102224564;-3.108227285,quadratic_radius,0.048395876,0.118332995,constant_s_tau_plausible,paper3_seed_candidate_search_not_tau_core_validation
NGC1705,C,14,1.832392947,0.074448164,1.776488849,1.850937013,1.000000000,0.142857143,0.350185457,0.256175947,1.826626710,0.249222064,1.917043894;-0.128557079,0.239318959,2.266755851;-1.431590596;1.033492272,0.244129601,2.024470446;-0.135573798,0.234652956,2.755438876;-1.541797818;0.590146049,0.239793574,2.240285608;0.766385993;-0.652827857,quadratic_acceleration,0.234652956,0.115532501,radial_function_preferred,paper3_seed_candidate_search_not_tau_core_validation
NGC2366,C,26,0.715690467,0.198837482,0.605730901,0.804568383,0.000000000,0.000000000,0.299800272,0.155796632,0.637239934,0.136276545,0.447427423;0.359890753,0.064471300,0.182230654;2.077455021;-1.703890986,0.137986262,1.122993974;-0.371424090,0.134346863,-1.712125384;3.711646460;-1.441704454,0.111956894,1.029261747;0.387348303;-0.455963458,quadratic_radius,0.064471300,0.235328972,constant_s_tau_plausible,paper3_seed_candidate_search_not_tau_core_validation
NGC2403,A,73,1.207366924,0.164974518,1.105316265,1.270290783,0.808219178,0.000000000,0.187851304,0.154284445,1.225383465,0.167118129,1.083983165;0.227166195,0.166560692,1.134825012;-0.039914898;0.245718609,0.166858143,1.058531208;0.160636051,0.167047362,1.150366384;-0.142462941;0.180623723,0.167025388,1.095275238;0.305290241;-0.057688239,galaxy_constant,0.154284445,0.033566859,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
NGC2976,C,27,0.751159445,0.295026292,0.567595100,0.862621392,0.148148148,0.111111111,0.200703298,0.210148724,0.516172764,0.170518852,0.069911816;1.239828813,0.156163932,-0.240047275;3.319162494;-2.245002967,0.161348069,1.531301740;-2.079825738,0.147371061,0.323145807;3.704911144;-6.097939247,0.161566133,1.283641362;0.235319679;-1.745948578,quadratic_acceleration,0.147371061,0.053332237,function_or_systematics_needed,paper3_seed_candidate_search_not_tau_core_validation
