Galaxy,StellarMassVariant,RadiusKpc,VobsKms,ErrVobsKms,VbarKms,Model,VmodelKms,LogResidual,aN_over_a0,TPGLogKernel,RequiredS_tauDiagnostic,RadiusMatching,EndpointUse,ForbiddenUse,Guardrail
DDO50,kinematic,0.920000000,18.510000000,3.330000000,15.044641708,NewtonianBaryonic,15.044641708,0.090024569,0.066442212,0.999270281,0.230506578,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,0.920000000,18.510000000,3.330000000,15.044641708,MONDSimpleMu,31.599505109,-0.232273862,0.066442212,0.999270281,0.230506578,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,0.920000000,18.510000000,3.330000000,15.044641708,EmpiricalRARLike,31.561407475,-0.231749944,0.066442212,0.999270281,0.230506578,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,0.920000000,18.510000000,3.330000000,15.044641708,FixedTPG_S1,30.078305051,-0.210846941,0.066442212,0.999270281,0.230506578,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,0.920000000,21.741800000,3.330000000,15.044641708,NewtonianBaryonic,15.044641708,0.159913647,0.066442212,0.999270281,0.445477469,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,0.920000000,21.741800000,3.330000000,15.044641708,MONDSimpleMu,31.599505109,-0.162384785,0.066442212,0.999270281,0.445477469,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,0.920000000,21.741800000,3.330000000,15.044641708,EmpiricalRARLike,31.561407475,-0.161860866,0.066442212,0.999270281,0.445477469,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,0.920000000,21.741800000,3.330000000,15.044641708,FixedTPG_S1,30.078305051,-0.140957863,0.066442212,0.999270281,0.445477469,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.040000000,21.550000000,3.860000000,15.344866808,NewtonianBaryonic,15.344866808,0.147484151,0.061145023,1.027387922,0.393598585,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.040000000,21.550000000,3.860000000,15.344866808,MONDSimpleMu,32.821050260,-0.182705200,0.061145023,1.027387922,0.393598585,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.040000000,21.550000000,3.860000000,15.344866808,EmpiricalRARLike,32.784416712,-0.182220187,0.061145023,1.027387922,0.393598585,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.040000000,21.550000000,3.860000000,15.344866808,FixedTPG_S1,31.109997633,-0.159452704,0.061145023,1.027387922,0.393598585,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.040000000,23.093000000,3.860000000,15.344866808,NewtonianBaryonic,15.344866808,0.177517232,0.061145023,1.027387922,0.491472813,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.040000000,23.093000000,3.860000000,15.344866808,MONDSimpleMu,32.821050260,-0.152672119,0.061145023,1.027387922,0.491472813,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.040000000,23.093000000,3.860000000,15.344866808,EmpiricalRARLike,32.784416712,-0.152187106,0.061145023,1.027387922,0.491472813,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.040000000,23.093000000,3.860000000,15.344866808,FixedTPG_S1,31.109997633,-0.129419622,0.061145023,1.027387922,0.491472813,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.150000000,22.710000000,3.670000000,15.620073150,NewtonianBaryonic,15.620073150,0.162534071,0.057297608,1.049476543,0.432499844,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.150000000,22.710000000,3.670000000,15.620073150,MONDSimpleMu,33.890382386,-0.173859335,0.057297608,1.049476543,0.432499844,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.150000000,22.710000000,3.670000000,15.620073150,EmpiricalRARLike,33.854776335,-0.173402815,0.057297608,1.049476543,0.432499844,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.150000000,22.710000000,3.670000000,15.620073150,FixedTPG_S1,32.012973527,-0.149108881,0.057297608,1.049476543,0.432499844,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.150000000,24.159100000,3.670000000,15.620073150,NewtonianBaryonic,15.620073150,0.189397688,0.057297608,1.049476543,0.520897868,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.150000000,24.159100000,3.670000000,15.620073150,MONDSimpleMu,33.890382386,-0.146995718,0.057297608,1.049476543,0.520897868,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.150000000,24.159100000,3.670000000,15.620073150,EmpiricalRARLike,33.854776335,-0.146539197,0.057297608,1.049476543,0.520897868,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.150000000,24.159100000,3.670000000,15.620073150,FixedTPG_S1,32.012973527,-0.122245264,0.057297608,1.049476543,0.520897868,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.270000000,23.560000000,4.190000000,15.920298250,NewtonianBaryonic,15.920298250,0.170224087,0.053897285,1.070341261,0.448335302,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.270000000,23.560000000,4.190000000,15.920298250,MONDSimpleMu,35.011396560,-0.172034148,0.053897285,1.070341261,0.448335302,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
DDO50,kinematic,1.270000000,23.560000000,4.190000000,15.920298250,EmpiricalRARLike,34.976654501,-0.171602981,0.053897285,1.070341261,0.448335302,linear_interpolation_to_Vobs_radius,preregistered_DDO50_methods_pilot,endpoint_tuning_or_tau_validation_claim,tau_signal_priority_ddo50_scoring_pilot_not_tau_core_validation
